row_id	status	notes	screenshots
M-METRICS-02	PASS	Live run, candidate phase: 'Training Candidates | Growth Iteration 0/1000000 | Best Corr: 0.1592 | Candidates: 40/40 | Candidate Epoch: 151/400 (37%)' — all four documented parts (phase_detail titled, Growth Iteration i/N, Best Corr, Candidates t/T) render. Empty during early output phase is correct per :1286-1308 (grow_max/candidates_total were 0).	—
M-METRICS-03	FAIL	NEW F-CANOPY-026. Reads 'Phase Duration: 301m 18s' on a 2-min-old run. metrics_panel.py:1375-1376 stamps a naive phase_started_at as UTC; cascor emits datetime.now().isoformat() (naive LOCAL) at manager.py:1781,2326. Measured delta exactly 18000s = the CDT UTC-0500 offset. Ticks correctly at 1s/s, so it is a pure constant offset; invisible in a UTC-0 container.	—
M-METRICS-04	PASS	type=text; native value-setter + input/change idiom set 'seg15_layout'. Round-trip proven by M-METRICS-05 creating a layout carrying that exact name (API oracle).	—
M-METRICS-05	PASS	Click -> status '✅ Layout seg15_layout saved' (11.0s settle); name input cleared to '' per :1113-1128; GET /api/v1/metrics/layouts count 8->9 with seg15_layout at head. Server-side POST, zero browser requests as expected.	—
M-METRICS-06	PASS	Radix select (aria-controls=radix-:rh:). Open -> aria-expanded=true, 9 [role=option] entries exactly matching the API list incl. the new seg15_layout (proves post-save store refresh). Select -> value 'seg15_layout', menu closed.	—
M-METRICS-07	PASS	Click -> layout-status changed 'saved' -> '✅ Layout seg15_layout loaded' in 4.8s. Polled for a CHANGE, not presence, since the cell already held the save message.	—
M-METRICS-08	PASS	Click (no confirm dialog, as documented) -> status '✅ Layout seg15_layout deleted' (17.2s settle); dropdown value cleared to 'Select layout...'; API count 9->8 and seg15_layout absent.	—
M-METRICS-09	PASS	Carried the result text for all three ops in sequence: saved -> loaded -> deleted.	—
M-METRICS-19	PASS	RadioItems (not a Radix select). Selecting 'Full History' -> wire response metrics-panel-display-mode-store data {mode:'full',window_size:250} and window-size-container style display:none (rect 0x0). NB RadioItems DOES respond to raw JS .click(), unlike dbc.Switch/dbc.Checkbox.	—
M-METRICS-20	PASS (in-range; over-max is None->100 not clamp)	In-range 250 -> store window_size:250 (wire response). Over-max 5000 -> dbc.Input reports invalid, Dash sends None, and :1174's `window_size or 100` yields 100 — so the max(10,min(1000,...)) clamp never executes for typed out-of-range input. Store is never out of range, so the safety property holds; only the mechanism differs from the row's wording.	—
M-METRICS-25	PASS	LR tile reads '0.100000', matching /api/state learning_rate 0.1. Written from the training-state store per :648-654.	—
M-METRICS-28	PASS	Container shown during the run (block, 822x47). Both bars fill with values that MOVE: candidate-epoch-progress 301/400 (75%) -> 400/400 (100%) across 9s; grow-progress 2/10 at width 20%. Visibility asserted via getComputedStyle + getBoundingClientRect.	—
M-CANDIDATES-07	FAIL	NEW F-CANOPY-027. Figure renders (block, 832x350, plotly modebar) but reads 'No candidate data available' for the whole live run while /api/state carries candidate_pool_size 40, candidates_trained 40/40, top_candidate_score 0.215 and 40 all_correlations. Cause: the panel's training-state-store IS filled (payload seen on the wire: pool_status Training, pool_size 40, top_candidate_id 31) but no consumer callback ever fires.	—
