row_id	status	notes	screenshots
M-METRICS-11	FAIL	2026-09-08 re-drive on :8052 @ eb05021d, fixture COMPLETED 48/48: click ⏮ left replay-state {mode:stopped, current_index:0}; 54 requests in the 4 s window, 3 naming replay, none applied. F-CANOPY-048 (controls callback retired in the 1 Hz metrics-store→update_replay_ui→slider→handle_replay_controls loop). Was BLOCKED.	2026-09-08_replay_initial.png
M-METRICS-12	FAIL	2026-09-08 re-drive: click ◀ applied nothing (mode stopped→stopped, index 0→0; 51 requests / 3 naming replay). F-CANOPY-048. Was BLOCKED.	—
M-METRICS-13	FAIL	2026-09-08 re-drive: the data-independent toggle failed — play text ▶→▶, replay-interval disabled True→True, mode stopped→stopped on both clicks (40 and 49 requests in the windows, 2 naming replay). F-CANOPY-048; the segment-15 'zero wire output' reading, now with the mechanism. Was BLOCKED.	2026-09-08_replay_initial.png
M-METRICS-14	FAIL	2026-09-08 re-drive: step-forward applied nothing (40 requests / 2 naming replay). F-CANOPY-048. Was BLOCKED.	—
M-METRICS-15	FAIL	2026-09-08 re-drive: ⏭ applied nothing (46 requests / 2 naming replay). F-CANOPY-048. Was BLOCKED.	—
M-METRICS-16	FAIL	2026-09-08 re-drive: 2x / 4x / 1x left replay-interval.interval at 1000 each time (data-independent; 51/43/48 requests, 2-3 naming replay). F-CANOPY-048. Was BLOCKED.	—
M-METRICS-18	BLOCKED	2026-09-08 re-drive: the slider's own value moved 0→10 (keyboard on the focused handle) and position stayed '0 / 0' — its observable is the index, clamped to 0 by max_index = len(metrics-store)-1 = 0 (F-CANOPY-035 at the store) with the controls callback itself retired (F-CANOPY-048). Blocker re-attributed; still BLOCKED.	—
M-TOPOLOGY-16	PASS	2026-09-08 window 3 (48->52, relay alive, canopy :8052 @ eb05021d, cascor from #632's tree): server growth 48->50->52; at t=89.1 s the graph carried 55 New Unit Edges traces and one New Unit Glow trace with the new unit ringed (shots/2026-09-08_live52_glow_first_seen.png). PASS covers the ACTIVE half only. Three limits, all measured: the active->fading transition on selecting another node was NOT driven; the glow was first observed 18.8 s AFTER the run reached COMPLETED, at a 19-27 s sampling period, so an earlier onset is neither shown nor excluded; and the row's 'time-based' half was not measured. The metrics store advanced 53->59->63 in the same window but WHICH writer moved it is not established (ws_liveness metrics_live read False at 4 of 5 samples). Was BLOCKED.	2026-09-08_live52_glow_first_seen.png
M-CANDIDATES-09	FAIL	2026-09-08 window 3 (relay alive): canopy's server read candidate_pool_status Training / pool 8 mid-phase and its pool-history endpoint held 4 entries after the run - F-CANOPY-036 verified FIXED at the server. The tab rendered 0 cards, -pool-history-store 0, badge Inactive at every sample. NO CAUSE IS ESTABLISHED BY THIS RUN: F-CANOPY-050 (the panel's 1 Hz feeder never lands) was filed and then WITHDRAWN 2026-09-09 - its stated proof of invocation was false (the pool-history route is a pure read; the accumulator is fed by canopy's WS ingestion), and F-CANOPY-051 shows the probe's page had very likely drifted to the Network Topology tab, which gates the panel's poll off. Needs a re-drive one tab at a time. Still FAIL.	—
M-CANDIDATES-10	BLOCKED	2026-09-08: no card to click in three live windows (see M-CANDIDATES-09; cause unestablished - F-CANOPY-050 withdrawn, F-CANOPY-051 open). The cardsprobe constructive fallback is obsolete since canopy#536 (the injected state is overwritten by the 1 Hz server-fed rewrite within a second). Still BLOCKED, DEAD-EXPECTED unchanged.	—
M-CANDIDATES-11	BLOCKED	2026-09-08: follows M-CANDIDATES-10 (no card, no collapse to observe; cause unestablished). Still BLOCKED.	—
M-DATASET-17	BLOCKED	2026-09-08: data leg brought up with the equities extra — /v1/generators reports equities and equities_seq available; every seq control is present in the DOM inside dataset-plotter-seq-controls, which is display:none because the loaded dataset is the 2-D spirals. The extra is no longer the blocker; which arm loads a sequence dataset is the owner question from the 2026-09-07 handoff. Still BLOCKED.	—
M-DATASET-18	BLOCKED	2026-09-08: see M-DATASET-17 — controls present, hidden with a 2-D dataset loaded; blocked on the owner's arm decision.	—
M-DATASET-19	BLOCKED	2026-09-08: see M-DATASET-17.	—
M-DATASET-20	BLOCKED	2026-09-08: see M-DATASET-17.	—
M-DATASET-21	BLOCKED	2026-09-08: see M-DATASET-17.	—
M-DATASET-22	BLOCKED	2026-09-08: see M-DATASET-17.	—
M-DATASET-23	BLOCKED	2026-09-08: see M-DATASET-17.	—
M-DATASET-24	BLOCKED	2026-09-08: see M-DATASET-17.	—
M-DATASET-25	BLOCKED	2026-09-08: see M-DATASET-17.	—
M-DATASET-26	BLOCKED	2026-09-08: see M-DATASET-17.	—
